Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-86.63186076199969 32.84057112200048),1980,Alabama,3900368,67,7,1382,1180,1169,213,777,392,167,38,8,0,1282,774,314,240,334,808,0,0
POINT (-147.72205903599973 64.84507995700051),1980,Alaska,405315,30,4,1184,280,1099,85,896,203,45,24,16,0,586,306,132,732,121,331,0,0
POINT (-111.76381127699972 34.865970280000454),1980,Arizona,2737774,15,7,1866,696,1561,305,910,651,263,35,7,0,1078,678,355,721,151,994,0,0
POINT (-92.27449074299966 34.74865012400045),1980,Arkansas,2288738,75,1,366,0,320,46,265,55,28,17,1,0,202,115,38,0,29,337,0,0
POINT (-120.99999953799971 37.63864012300047),1980,California,23800800,58,41,13728,1278,11221,2507,7772,3449,1169,609,725,4,7869,4771,2215,1763,3685,8280,0,0
POINT (-106.13361092099967 38.843840757000464),1980,Colorado,2908803,64,10,3477,183,3226,251,2209,1017,212,29,10,0,1584,769,435,1801,406,1270,0,0
POINT (-72.64984095199964 41.56266102000046),1980,Connecticut,3113174,8,6,1505,691,1032,473,604,428,170,160,143,0,1603,1076,380,542,84,879,0,0
POINT (-75.57774116799965 39.008830667000495),1980,Delaware,594919,3,3,632,466,501,131,327,174,82,41,8,0,626,394,154,60,183,389,0,0
POINT (-77.036871 38.907192),1980,District Of Columbia,638284,1,1,366,0,288,78,194,94,45,24,9,0,234,147,47,138,104,124,0,0
POINT (-81.92896053899966 28.932040377000476),1980,Florida,9839835,67,13,4011,747,3770,241,2864,906,186,52,3,0,2237,960,487,892,332,2787,0,0
POINT (-83.62758034599966 32.83968109300048),1980,Georgia,5486174,159,5,1344,486,1226,118,915,311,82,27,9,0,1046,464,180,261,105,978,0,0
POINT (-157.85774940299973 21.304850435000446),1980,Hawaii,967710,5,1,366,0,366,0,366,0,0,0,0,0,34,28,18,79,0,287,0,0
POINT (-114.3637300419997 43.682630005000476),1980,Idaho,947983,44,1,366,0,343,23,139,204,22,1,0,0,151,93,57,366,0,0,0,0
POINT (-88.99771017799969 40.48501028300046),1980,Illinois,11434702,102,20,6156,1164,5678,478,4565,1113,359,94,25,0,3717,1713,713,1059,197,4900,0,0
POINT (-86.14996019399968 39.766910452000445),1980,Indiana,5490721,92,15,4021,1469,3646,375,3236,410,239,102,34,0,2057,1143,487,173,2194,1654,0,0
POINT (-93.81649055599968 42.46940091300047),1980,Iowa,2914018,99,7,1877,685,1763,114,1336,427,81,29,4,0,1204,522,254,809,94,974,0,0
POINT (-98.20078122699965 38.34774030000045),1980,Kansas,2369039,105,3,1080,18,1016,64,832,184,51,12,1,0,474,239,103,652,0,428,0,0
POINT (-84.77497104799966 37.645970271000465),1980,Kentucky,3664221,120,21,5543,2143,5004,539,3986,1018,365,139,35,0,3526,1894,784,852,1654,3037,0,0
POINT (-92.44568007099969 31.31266064400046),1980,Louisiana,4223101,64,8,1773,1155,1635,138,1415,220,88,31,19,0,1619,665,249,0,209,1564,0,0
POINT (-68.98503133599962 45.254228894000505),1980,Maine,1126860,16,5,1127,703,1068,59,962,106,39,16,4,0,718,371,155,491,23,613,0,0
POINT (-76.60926011099963 39.29058096400047),1980,Maryland,4227643,24,11,2467,1559,1995,472,1527,468,245,135,92,0,2159,1367,477,143,720,1604,0,0
POINT (-72.08269067499964 42.27687047000046),1980,Massachusetts,5746075,14,9,2457,837,2173,284,1611,562,173,83,28,0,1936,981,382,790,306,1361,0,0
POINT (-84.71439026999968 44.6613195430005),1980,Michigan,9255553,83,15,4955,535,4593,362,3768,825,247,98,17,0,2903,1253,546,666,807,3482,0,0
POINT (-94.79420050299967 46.35564873600049),1980,Minnesota,4085017,87,10,3017,643,2882,135,1914,968,108,25,2,0,1835,787,439,1475,95,1447,0,0
POINT (-89.53803082499968 32.745510099000455),1980,Mississippi,2525342,82,3,988,110,874,114,687,187,98,14,2,0,608,321,118,35,97,856,0,0
POINT (-92.56630005299968 38.635790776000476),1980,Missouri,4921966,115,8,2420,508,2015,405,1302,713,277,99,29,0,1570,927,382,499,565,1356,0,0
POINT (-109.42442064499971 47.06652897200047),1980,Montana,788752,56,6,1474,722,1429,45,1105,324,39,5,1,0,782,377,219,481,247,746,0,0
POINT (-99.36572062299967 41.6410409880005),1980,Nebraska,1572296,93,4,1047,417,962,85,775,187,46,22,17,0,488,303,114,441,73,533,0,0
POINT (-117.07184056399967 39.493240390000494),1980,Nevada,810215,17,2,732,0,535,197,230,305,158,32,7,0,429,248,142,241,273,218,0,0
POINT (-71.50036091999965 43.65595011300047),1980,New Hampshire,924250,10,4,1085,379,1026,59,695,331,36,18,5,0,669,341,187,783,0,302,0,0
POINT (-74.27369128799967 40.13057004800049),1980,New Jersey,7376330,21,20,6412,908,5529,883,3582,1947,443,296,144,0,4021,2369,945,3339,1163,1910,0,0
POINT (-106.24058098499967 34.52088095200048),1980,New Mexico,1309400,33,4,1460,4,1409,51,1139,270,30,12,9,0,490,265,140,1057,48,355,0,0
POINT (-75.54397042699964 42.82700103200045),1980,New York,17566754,62,21,7257,429,6590,667,5464,1126,379,200,88,0,4270,1974,734,1759,1083,4415,0,0
